"artist_id";"artist_name";"artist_followers";"artist_popularity";"n_genres";"total_releases";"n_album";"n_single";"n_appears_on";"n_compilation"
"4f9iBmdUOhQWeP7dcAn1pf";"Rag'n'Bone Man";902713;82;1;53;4;19;30;0
"25u4wHJWxCA9vO0CzxAbK7";"Lukas Graham";1153350;79;3;16;3;7;6;0
"7keGfmQR4X5w0two1xKZ7d";"Kungs";490833;68;3;23;1;8;14;0
"7LvoDJUNGnOrPdGRzVtOJ9";"Young M.A";699409;64;4;36;1;20;15;0
"2LZDXcxJWgsJfKXZv9a5eG";"Cashmere Cat";266169;66;6;32;1;9;22;0
"55fhWPvDiMpLnE4ZzNXZyW";"Noah Cyrus";377407;75;3;37;0;30;7;0
"787bCXOIvGeBw0Bc4kEjhD";"Luke Christopher";115465;64;3;77;2;69;6;0
"1anyVhU62p31KFi8MEzkbf";"Chance the Rapper";3889956;81;6;108;1;8;99;0
"3e7awlrlDSwF3iM0WBjGMp";"Little Mix";5503824;83;7;46;5;26;15;0
"1i8SpTcr7yvPOmcqrbnVXY";"Ozuna";15254169;95;2;195;2;64;129;0
"02kJSzxNuaWGqwubyUba0Z";"G-Eazy";3789235;85;5;265;7;108;150;0
"7xEFii6utZmQ61kX59HmLH";"FRENSHIP";99433;65;6;12;0;12;0;0
"3fMbdgg4jU18AjLCKBhRSm";"Michael Jackson";9236965;84;1;149;17;5;110;17
"0b2GL7Y02vu50qieoQmw1w";"IAmChino";19735;58;2;20;0;14;6;0
"1r4hJ1h58CWwUQe3MxPuau";"Maluma";14742510;89;2;130;4;32;94;0
"5NS0854TqZQVoRmJKSWtFZ";"Chino & Nacho";1430893;65;9;55;6;16;33;0
"6gK1Uct5FEdaUWRWpU4Cl2";"Petit Biscuit";496193;71;1;30;1;20;9;0
"7DMveApC7UnC2NPfPvlHSU";"Cheat Codes";1052982;79;7;82;0;52;30;0
"0bdfiayQAKewqEvaU6rXCv";"MØ";1000145;77;5;77;3;37;37;0
"50JJSqHUf2RQ9xsHs0KMHg";"Jon Bellion";809255;76;2;51;5;21;25;0
"2oX42qP5ineK3hrhBECLmj";"Andy Grammer";571117;70;7;25;4;17;4;0
"3E6xrwgnVfYCrCs0ePERDz";"Wisin";4305510;82;7;145;4;15;126;0
"1dfeR4HaWDbWqFHLkxsg1d";"Queen";13939624;94;2;89;44;4;25;16
"50co4Is1HCEo8bhOyUWKpn";"Young Thug";3883427;86;9;469;11;28;430;0
"4O15NlyKLIASxsJ0PrXPfz";"Lil Uzi Vert";5951429;87;4;145;7;12;126;0
"0q4NrXqJnc367PieejuROJ";"Vice";12765;61;1;77;0;61;16;0
"6eUKZXaKkcviH0Ku9w2n3V";"Ed Sheeran";41286962;91;2;126;9;36;81;0
"7gP3bB2nilZXLfPHJhMdvc";"Foster The People";2442059;75;5;42;3;22;17;0
"73sIBHcqh3Z3NyqHKZ7FOL";"Childish Gambino";4666061;80;4;64;8;6;50;0
"4sTQVOfp9vEMCemLw50sbu";"Galantis";2465931;78;6;93;2;55;36;0
"2RdwBSPQiwcmiDo9kixcl8";"Pharrell Williams";2677387;80;3;359;3;20;336;0
"1Hsdzj7Dlq2I7tHP7501T4";"Niall Horan";3399620;78;4;47;2;18;27;0
"6nxWCVXbOlEVRexSbLsTer";"Flume";1656009;74;6;40;4;16;20;0
"64M6ah0SkkRsnPGtGiRAbb";"Bebe Rexha";3243088;87;3;91;1;33;57;0
"1Cs0zKBU1kc0i8ypK3B9ai";"David Guetta";17942010;89;3;252;16;108;128;0
"5BcAKTbp20cv7tC5VqPFoC";"Macklemore & Ryan Lewis";2301292;75;3;11;6;4;1;0
"4bw2Am3p9ji3mYsXNXtQcd";"Piso 21";3021169;82;3;45;2;22;21;0
"3wjsrpfO6odEphTZWx45RQ";"Hearts & Colors";84655;64;3;27;0;22;5;0
"2iE18Oxc8YSumAU232n4rW";"The Jackson 5";705381;71;3;196;17;5;157;17
"6s22t5Y3prQHyaHWUN1R1C";"AJR";665304;76;2;42;5;15;22;0
"6ydoSd3N2mwgwBHtF6K7eX";"Calum Scott";1041616;77;1;49;2;26;21;0
"4qBgvVog0wzW75IQ48mU7v";"KYLE";693443;76;4;63;3;38;22;0
"4PVn1b2WnnXdq80C7uaZLZ";"Nause";190172;53;3;32;0;24;8;0
"3koiLjNrgRTNbOwViDipeA";"Marvin Gaye";2681061;75;6;341;53;6;258;24
"4u5smJBskI6Adzv08PuiUP";"Kiiara";535675;71;6;51;0;26;25;0
"1RyvyyTE3xzB2ZywiAwp0i";"Future";7661716;90;6;640;23;33;583;1
"5sK8BsvyDl4TFA6KaBf8or";"Charly Black";161160;65;1;340;3;119;218;0
"1SupJlEpv7RS2tPNRaHViT";"Nicky Jam";8851812;87;5;326;6;49;270;1
"23wEWD21D4TPYiJugoXmYb";"Thalía";1863869;74;6;72;20;16;35;1
"0jnsk9HBra6NMjO2oANoPY";"Flo Rida";6840267;80;5;214;7;62;145;0
"1b4DN8Vj0dnj5cceMFsRYN";"Dante Klein";16464;60;3;17;0;11;6;0
"3hv9jJF3adDNsBSIQDqcjp";"Mark Ronson";515423;83;2;80;8;28;43;1
"2cy1zPcrFcXAJTP0APWewL";"Gente De Zona";1088245;74;8;117;6;17;94;0
"0Y5tJX1MQlPlqiwlOH1tJY";"Travis Scott";5039927;94;3;191;7;30;154;0
"0jNDKefhfSbLR9sFvcPLHo";"San Holo";440109;69;7;86;2;37;47;0
"329e4yvIujISKGKz1BZZbO";"Farruko";5189800;89;5;387;6;87;294;0
"05o1zW8b6PV6rEquXr74sB";"State of Sound";24213;57;2;21;0;17;4;0
"36jaGQtMj5UWD0eO1fCVdD";"Joel Adams";87737;64;1;8;0;6;2;0
"1zNqDE7qDGCsyzJwohVaoX";"Anne-Marie";3028026;85;5;95;1;43;51;0
"3tQx1LPXbsYjE9VwN1Peaa";"Marc E. Bassy";211566;71;6;67;4;10;53;0
"3Isy6kedDrgPYoTS1dazA9";"Sean Paul";2316243;82;4;530;9;73;447;1
"23fqKkggKUBHNkbKtXEls4";"Kygo";4508310;86;3;66;3;29;34;0
